current_mA,voltage_V
71.01,0.8949
71.02,0.8986
71.03,0.8984
71.04,0.8962
71.05,0.8996
71.06,0.8957
71.07,0.896
71.08,0.8959
71.09,0.8946
71.10,0.8954
71.11,0.8952
71.12,0.896
71.13,0.8985
71.14,0.8998
71.15,0.8994
71.16,0.8999
71.17,0.8995
71.18,0.8992
71.19,0.9
71.20,0.8974
71.21,0.8963
71.22,0.8977
71.23,0.8982
71.24,0.8989
71.25,0.8961
71.26,0.899
71.27,0.9002
71.28,0.9005
71.29,0.8975
71.30,0.8974
71.31,0.8985
71.32,0.8997
71.33,0.8999
71.34,0.9012
71.35,0.9025
71.36,0.9045
71.37,0.9028
71.38,0.9005
71.39,0.9014
71.40,0.9019
71.41,0.9035
71.42,0.9028
71.43,0.9033
71.44,0.9024
71.45,0.904
71.46,0.904
71.47,0.9036
71.48,0.9031
71.49,0.9034
71.50,0.9009
71.51,0.9019
71.52,0.9015
71.53,0.9003
71.54,0.8994
71.55,0.9015
71.56,0.9019
71.57,0.9023
71.58,0.9047
71.59,0.9041
71.60,0.9044
71.61,0.9044
71.62,0.9034
71.63,0.9053
71.64,0.9049
71.65,0.9047
71.66,0.9051
71.67,0.9051
71.68,0.9063
71.69,0.9037
71.70,0.9044
71.71,0.9054
71.72,0.9061
71.73,0.9056
71.74,0.9056
71.75,0.9076
71.76,0.9078
71.77,0.9081
71.78,0.9081
71.79,0.9079
71.80,0.907
71.81,0.9059
71.82,0.9047
71.83,0.9087
71.84,0.9084
71.85,0.908
71.86,0.9053
71.87,0.9075
71.88,0.9082
71.89,0.9054
71.90,0.9083
71.91,0.9092
71.92,0.9076
71.93,0.9074
71.94,0.9085
71.95,0.9087
71.96,0.9079
71.97,0.9073
71.98,0.9089
71.99,0.9098
72.00,0.907
72.01,0.9093
72.02,0.9084
72.03,0.9077
72.04,0.9066
72.05,0.9096
72.06,0.909
72.07,0.9083
72.08,0.9102
72.09,0.9104
72.10,0.9104
72.11,0.9124
72.12,0.9104
72.13,0.9106
72.14,0.9117
72.15,0.9124
72.16,0.9091
72.17,0.9083
72.18,0.909
72.19,0.9122
72.20,0.913
72.21,0.9136
72.22,0.9126
72.23,0.9128
72.24,0.9133
72.25,0.9131
72.26,0.9141
72.27,0.9136
72.28,0.9134
72.29,0.9125
72.30,0.914
72.31,0.9133
72.32,0.9145
72.33,0.9153
72.34,0.9133
72.35,0.9109
72.36,0.9141
72.37,0.9151
72.38,0.9127
72.39,0.9127
72.40,0.9142
72.41,0.9143
72.42,0.914
72.43,0.914
72.44,0.9154
72.45,0.9128
72.46,0.9121
72.47,0.9124
72.48,0.9158
72.49,0.916
72.50,0.9149
72.51,0.9139
72.52,0.9134
72.53,0.9145
72.54,0.917
72.55,0.9178
72.56,0.9174
72.57,0.9175
72.58,0.915
72.59,0.9166
72.60,0.9166
72.61,0.9187
72.62,0.9202
72.63,0.9166
72.64,0.9179
72.65,0.9162
72.66,0.9147
72.67,0.9142
72.68,0.9134
72.69,0.9148
72.70,0.9149
72.71,0.9169
72.72,0.9167
72.73,0.9208
72.74,0.9203
72.75,0.9199
72.76,0.9192
72.77,0.9203
72.78,0.9198
72.79,0.9183
72.80,0.9196
72.81,0.9199
72.82,0.9192
72.83,0.9195
72.84,0.9196
72.85,0.9177
72.86,0.9196
72.87,0.9174
72.88,0.9175
72.89,0.9191
72.90,0.9198
72.91,0.9222
72.92,0.9205
72.93,0.9183
72.94,0.9198
72.95,0.9219
72.96,0.9225
72.97,0.9232
72.98,0.9214
72.99,0.9227
73.00,0.922
73.01,0.9228
73.02,0.9194
73.03,0.9226
73.04,0.9229
73.05,0.9228
73.06,0.9233
73.07,0.9206
73.08,0.9228
73.09,0.9217
73.10,0.9204
73.11,0.9244
73.12,0.9236
73.13,0.924
73.14,0.923
73.15,0.9211
73.16,0.9242
73.17,0.9254
73.18,0.9251
73.19,0.9255
73.20,0.9247
73.21,0.9244
73.22,0.9226
73.23,0.9252
73.24,0.9256
73.25,0.9262
73.26,0.9261
73.27,0.9253
73.28,0.9251
73.29,0.9236
73.30,0.9273
73.31,0.9259
73.32,0.925
73.33,0.9249
73.34,0.9241
73.35,0.9242
73.36,0.9269
73.37,0.9278
73.38,0.9262
73.39,0.9263
73.40,0.9269
73.41,0.9265
73.42,0.9241
73.43,0.9253
73.44,0.9249
73.45,0.9248
73.46,0.9242
73.47,0.9272
73.48,0.9278
73.49,0.9278
73.50,0.928
73.51,0.9284
73.52,0.9266
73.53,0.9267
73.54,0.9254
73.55,0.9294
73.56,0.9281
73.57,0.9273
73.58,0.9288
73.59,0.9294
73.60,0.9294
73.61,0.9296
73.62,0.9298
73.63,0.9284
73.64,0.9283
73.65,0.9307
73.66,0.9288
73.67,0.9277
73.68,0.9272
73.69,0.9306
73.70,0.9293
73.71,0.9291
73.72,0.9292
73.73,0.9275
73.74,0.9279
73.75,0.9294
73.76,0.9297
73.77,0.9294
73.78,0.9323
73.79,0.932
73.80,0.9306
73.81,0.9294
73.82,0.9315
73.83,0.933
73.84,0.9338
73.85,0.9331
73.86,0.9329
73.87,0.9327
73.88,0.9327
73.89,0.9325
73.90,0.9302
73.91,0.9301
73.92,0.9312
73.93,0.9324
73.94,0.9304
73.95,0.9328
73.96,0.9332
73.97,0.9325
73.98,0.9349
73.99,0.9351
74.00,0.9332
