current_mA,voltage_V
72.01,0.9078
72.02,0.9087
72.03,0.9086
72.04,0.9097
72.05,0.9123
72.06,0.9105
72.07,0.9098
72.08,0.9106
72.09,0.9117
72.10,0.913
72.11,0.913
72.12,0.9126
72.13,0.9126
72.14,0.913
72.15,0.9133
72.16,0.9134
72.17,0.9125
72.18,0.9135
72.19,0.9141
72.20,0.9141
72.21,0.914
72.22,0.9113
72.23,0.9131
72.24,0.9133
72.25,0.9116
72.26,0.912
72.27,0.9115
72.28,0.9121
72.29,0.913
72.30,0.9119
72.31,0.9117
72.32,0.9124
72.33,0.9163
72.34,0.9175
72.35,0.9172
72.36,0.9151
72.37,0.9169
72.38,0.9163
72.39,0.9128
72.40,0.9146
72.41,0.9158
72.42,0.9167
72.43,0.9168
72.44,0.9161
72.45,0.9149
72.46,0.9124
72.47,0.9135
72.48,0.9139
72.49,0.9137
72.50,0.9138
72.51,0.9154
72.52,0.9138
72.53,0.9158
72.54,0.9171
72.55,0.917
72.56,0.9171
72.57,0.9166
72.58,0.9183
72.59,0.9181
72.60,0.9182
72.61,0.9182
72.62,0.9186
72.63,0.9184
72.64,0.9184
72.65,0.9172
72.66,0.9173
72.67,0.9155
72.68,0.9154
72.69,0.9162
72.70,0.917
72.71,0.9189
72.72,0.9189
72.73,0.9177
72.74,0.9183
72.75,0.9159
72.76,0.9183
72.77,0.9182
72.78,0.9187
72.79,0.918
72.80,0.9168
72.81,0.9178
72.82,0.9182
72.83,0.9196
72.84,0.9196
72.85,0.9211
72.86,0.9223
72.87,0.9238
72.88,0.9239
72.89,0.9221
72.90,0.9213
72.91,0.9236
72.92,0.9242
72.93,0.9239
72.94,0.9215
72.95,0.9141
72.96,0.9126
72.97,0.9161
72.98,0.9152
72.99,0.9141
73.00,0.918
73.01,0.9184
73.02,0.9191
73.03,0.9208
73.04,0.9195
73.05,0.9191
73.06,0.9188
73.07,0.9206
73.08,0.9216
73.09,0.9225
73.10,0.923
73.11,0.9247
73.12,0.923
73.13,0.9238
73.14,0.9239
73.15,0.9246
73.16,0.922
73.17,0.9242
73.18,0.9266
73.19,0.9267
73.20,0.9225
73.21,0.9223
73.22,0.9239
73.23,0.9217
73.24,0.924
73.25,0.9283
73.26,0.9241
73.27,0.9261
73.28,0.925
73.29,0.9256
73.30,0.9256
73.31,0.9265
73.32,0.9261
73.33,0.9252
73.34,0.9267
73.35,0.9273
73.36,0.9272
73.37,0.9269
73.38,0.9256
73.39,0.9269
73.40,0.9277
73.41,0.9276
73.42,0.9271
73.43,0.9284
73.44,0.9278
73.45,0.9276
73.46,0.9278
73.47,0.9278
73.48,0.9276
73.49,0.927
73.50,0.927
73.51,0.9256
73.52,0.9264
73.53,0.9269
73.54,0.9265
73.55,0.9266
73.56,0.9282
73.57,0.9301
73.58,0.9298
73.59,0.9302
73.60,0.93
73.61,0.9305
73.62,0.9295
73.63,0.9303
73.64,0.9305
73.65,0.9276
73.66,0.9278
73.67,0.9277
73.68,0.9278
73.69,0.9298
73.70,0.9285
73.71,0.9291
73.72,0.9297
73.73,0.9303
73.74,0.932
73.75,0.9317
73.76,0.9315
73.77,0.9316
73.78,0.9326
73.79,0.9322
73.80,0.9318
73.81,0.932
73.82,0.9315
73.83,0.9303
73.84,0.9309
73.85,0.9312
73.86,0.9319
73.87,0.9308
73.88,0.9292
73.89,0.9279
73.90,0.9323
73.91,0.9322
73.92,0.9333
73.93,0.9324
73.94,0.9337
73.95,0.9336
73.96,0.9333
73.97,0.9331
73.98,0.9348
73.99,0.9349
74.00,0.9348
