current_mA,voltage_V
72.01,0.8349
72.02,0.8284
72.03,0.8431
72.04,0.8337
72.05,0.8394
72.06,0.8362
72.07,0.8322
72.08,0.8394
72.09,0.8332
72.10,0.8444
72.11,0.8322
72.12,0.8327
72.13,0.8394
72.14,0.8303
72.15,0.8399
72.16,0.8304
72.17,0.8367
72.18,0.8339
72.19,0.8291
72.20,0.8384
72.21,0.8308
72.22,0.8423
72.23,0.8322
72.24,0.8335
72.25,0.8374
72.26,0.8296
72.27,0.8427
72.28,0.8334
72.29,0.8392
72.30,0.8354
72.31,0.8332
72.32,0.8426
72.33,0.8292
72.34,0.8416
72.35,0.8367
72.36,0.8375
72.37,0.8373
72.38,0.8304
72.39,0.8438
72.40,0.832
72.41,0.8392
72.42,0.8372
72.43,0.8312
72.44,0.8402
72.45,0.8311
72.46,0.8409
72.47,0.834
72.48,0.8358
72.49,0.8391
72.50,0.8295
72.51,0.8472
72.52,0.8373
72.53,0.8425
72.54,0.8398
72.55,0.8322
72.56,0.8425
72.57,0.834
72.58,0.8431
72.59,0.834
72.60,0.8349
72.61,0.8426
72.62,0.8326
72.63,0.8441
72.64,0.8366
72.65,0.8442
72.66,0.8435
72.67,0.835
72.68,0.8465
72.69,0.8361
72.70,0.8462
72.71,0.8424
72.72,0.8419
72.73,0.8475
72.74,0.8358
72.75,0.8474
72.76,0.837
72.77,0.8426
72.78,0.8432
72.79,0.8352
72.80,0.8452
72.81,0.8352
72.82,0.8469
72.83,0.8425
72.84,0.8382
72.85,0.8474
72.86,0.8366
72.87,0.8487
72.88,0.8414
72.89,0.8464
72.90,0.8452
72.91,0.8379
72.92,0.8497
72.93,0.8403
72.94,0.8469
72.95,0.8404
72.96,0.8387
72.97,0.8453
72.98,0.8362
72.99,0.8505
73.00,0.8408
73.01,0.8455
73.02,0.8479
73.03,0.8388
73.04,0.8494
73.05,0.8369
73.06,0.8463
73.07,0.8414
73.08,0.8414
73.09,0.8461
73.10,0.8359
73.11,0.8494
73.12,0.8414
73.13,0.8411
73.14,0.8454
73.15,0.8381
73.16,0.8509
73.17,0.842
73.18,0.8483
73.19,0.8443
73.20,0.8377
73.21,0.8465
73.22,0.8401
73.23,0.8525
73.24,0.8395
73.25,0.8435
73.26,0.8455
73.27,0.8377
73.28,0.8518
73.29,0.8462
73.30,0.8497
73.31,0.8451
73.32,0.8415
73.33,0.8453
73.34,0.8378
73.35,0.8511
73.36,0.8439
73.37,0.8448
73.38,0.8472
73.39,0.8357
73.40,0.8492
73.41,0.8439
73.42,0.8536
73.43,0.8495
73.44,0.8422
73.45,0.8518
73.46,0.8409
73.47,0.858
73.48,0.8492
73.49,0.8466
73.50,0.8477
73.51,0.8436
73.52,0.8558
73.53,0.8443
73.54,0.8509
73.55,0.8481
73.56,0.8478
73.57,0.8472
73.58,0.8492
73.59,0.8505
73.60,0.8504
73.61,0.85
73.62,0.8512
73.63,0.8488
73.64,0.846
73.65,0.8469
73.66,0.8471
73.67,0.8476
73.68,0.8456
73.69,0.8481
73.70,0.8502
73.71,0.8508
73.72,0.8511
73.73,0.8526
73.74,0.8516
73.75,0.8522
73.76,0.8522
73.77,0.8506
73.78,0.854
73.79,0.8545
73.80,0.851
73.81,0.852
73.82,0.8518
73.83,0.8519
73.84,0.8494
73.85,0.8497
73.86,0.8488
73.87,0.8512
73.88,0.8481
73.89,0.8522
73.90,0.8523
73.91,0.8541
73.92,0.8549
73.93,0.8551
73.94,0.8545
73.95,0.8539
73.96,0.8541
73.97,0.8522
73.98,0.8527
73.99,0.8538
74.00,0.8546
