current_mA,voltage_V
71.01,0.8835
71.02,0.8833
71.03,0.882
71.04,0.8819
71.05,0.8803
71.06,0.8806
71.07,0.8848
71.08,0.8854
71.09,0.8846
71.10,0.8848
71.11,0.8834
71.12,0.8843
71.13,0.8849
71.14,0.8852
71.15,0.8825
71.16,0.8839
71.17,0.8866
71.18,0.8848
71.19,0.8837
71.20,0.8852
71.21,0.8859
71.22,0.8868
71.23,0.8859
71.24,0.8865
71.25,0.8876
71.26,0.8844
71.27,0.8818
71.28,0.8846
71.29,0.8863
71.30,0.8859
71.31,0.887
71.32,0.8892
71.33,0.8887
71.34,0.8865
71.35,0.8884
71.36,0.8869
71.37,0.8885
71.38,0.8873
71.39,0.8883
71.40,0.8887
71.41,0.8899
71.42,0.889
71.43,0.8888
71.44,0.8883
71.45,0.8875
71.46,0.8892
71.47,0.8885
71.48,0.8864
71.49,0.8893
71.50,0.8869
71.51,0.8906
71.52,0.8883
71.53,0.888
71.54,0.887
71.55,0.892
71.56,0.8903
71.57,0.8891
71.58,0.8911
71.59,0.8911
71.60,0.8916
71.61,0.8898
71.62,0.8898
71.63,0.8917
71.64,0.8888
71.65,0.8889
71.66,0.8881
71.67,0.8893
71.68,0.8892
71.69,0.8915
71.70,0.8934
71.71,0.8914
71.72,0.8919
71.73,0.8893
71.74,0.8904
71.75,0.8895
71.76,0.8907
71.77,0.8907
71.78,0.8908
71.79,0.8919
71.80,0.8897
71.81,0.8894
71.82,0.8911
71.83,0.8909
71.84,0.8916
71.85,0.8982
71.86,0.8928
71.87,0.8906
71.88,0.8929
71.89,0.8918
71.90,0.8922
71.91,0.8928
71.92,0.8946
71.93,0.8927
71.94,0.8919
71.95,0.8914
71.96,0.8912
71.97,0.893
71.98,0.8913
71.99,0.8912
72.00,0.8923
72.01,0.8925
72.02,0.8937
72.03,0.8937
72.04,0.8948
72.05,0.8951
72.06,0.8937
72.07,0.8945
72.08,0.894
72.09,0.8942
72.10,0.8937
72.11,0.8935
72.12,0.8937
72.13,0.8955
72.14,0.8955
72.15,0.8969
72.16,0.8952
72.17,0.8956
72.18,0.8994
72.19,0.8963
72.20,0.896
72.21,0.8973
72.22,0.8955
72.23,0.8973
72.24,0.8975
72.25,0.9006
72.26,0.8965
72.27,0.8955
72.28,0.8975
72.29,0.897
72.30,0.8961
72.31,0.8994
72.32,0.8974
72.33,0.8975
72.34,0.8988
72.35,0.8996
72.36,0.8976
72.37,0.9016
72.38,0.9002
72.39,0.9029
72.40,0.9035
72.41,0.9039
72.42,0.9022
72.43,0.9047
72.44,0.9103
72.45,0.9093
72.46,0.9127
72.47,0.9092
72.48,0.9086
72.49,0.908
72.50,0.9064
72.51,0.8981
72.52,0.8928
72.53,0.8941
72.54,0.8962
72.55,0.8947
72.56,0.8992
72.57,0.899
72.58,0.9012
72.59,0.8988
72.60,0.8922
72.61,0.8885
72.62,0.8856
72.63,0.887
72.64,0.8877
72.65,0.8851
72.66,0.8834
72.67,0.8866
72.68,0.8913
72.69,0.8981
72.70,0.902
72.71,0.9074
72.72,0.9051
72.73,0.9045
72.74,0.9023
72.75,0.9008
72.76,0.8952
72.77,0.8907
72.78,0.8801
72.79,0.8812
72.80,0.876
72.81,0.8665
72.82,0.8684
72.83,0.8765
72.84,0.8861
72.85,0.889
72.86,0.9
72.87,0.9145
72.88,0.9179
72.89,0.918
72.90,0.9208
72.91,0.9217
72.92,0.9253
72.93,0.9131
72.94,0.8958
72.95,0.8559
72.96,0.8522
72.97,0.8251
72.98,0.8184
72.99,0.8265
73.00,0.833
73.01,0.8538
73.02,0.8659
73.03,0.8682
73.04,0.8806
73.05,0.8889
73.06,0.888
73.07,0.8929
73.08,0.8959
73.09,0.8982
73.10,0.8996
73.11,0.8993
73.12,0.9001
73.13,0.9008
73.14,0.9019
73.15,0.9025
73.16,0.9046
73.17,0.9055
73.18,0.9051
73.19,0.9061
73.20,0.9053
73.21,0.9065
73.22,0.9052
73.23,0.9054
73.24,0.9066
73.25,0.9085
73.26,0.9045
73.27,0.9056
73.28,0.9075
73.29,0.9087
73.30,0.9106
73.31,0.9075
73.32,0.9087
73.33,0.9105
73.34,0.908
73.35,0.9084
73.36,0.9081
73.37,0.9089
73.38,0.9105
73.39,0.9095
73.40,0.9073
73.41,0.9072
73.42,0.91
73.43,0.9101
73.44,0.9101
73.45,0.9088
73.46,0.9068
73.47,0.9072
73.48,0.9106
73.49,0.9108
73.50,0.9112
73.51,0.9116
73.52,0.9111
73.53,0.9115
73.54,0.9107
73.55,0.9133
73.56,0.9133
73.57,0.9097
73.58,0.9112
73.59,0.9106
73.60,0.9106
73.61,0.9114
73.62,0.9115
73.63,0.9109
73.64,0.9174
73.65,0.9127
73.66,0.9106
73.67,0.9108
73.68,0.9115
73.69,0.9124
73.70,0.9134
73.71,0.911
73.72,0.9109
73.73,0.9129
73.74,0.9134
73.75,0.9122
73.76,0.9124
73.77,0.9132
73.78,0.913
73.79,0.9141
73.80,0.9122
73.81,0.9138
73.82,0.9126
73.83,0.9142
73.84,0.9149
73.85,0.9156
73.86,0.9141
73.87,0.9118
73.88,0.9131
73.89,0.9146
73.90,0.9149
73.91,0.9144
73.92,0.9146
73.93,0.9151
73.94,0.9162
73.95,0.9181
73.96,0.9146
73.97,0.916
73.98,0.9157
73.99,0.9167
74.00,0.916
