current_mA,voltage_V
70.01,0.8136
70.02,0.8178
70.03,0.8134
70.04,0.8137
70.05,0.8139
70.06,0.8176
70.07,0.8202
70.08,0.8209
70.09,0.8166
70.10,0.8165
70.11,0.8124
70.12,0.8158
70.13,0.8192
70.14,0.8166
70.15,0.8176
70.16,0.8171
70.17,0.8182
70.18,0.8169
70.19,0.8134
70.20,0.8174
70.21,0.8188
70.22,0.8145
70.23,0.8188
70.24,0.8205
70.25,0.8231
70.26,0.8232
70.27,0.8232
70.28,0.8219
70.29,0.8193
70.30,0.8216
70.31,0.8214
70.32,0.8179
70.33,0.8178
70.34,0.8162
70.35,0.8181
70.36,0.8181
70.37,0.8191
70.38,0.818
70.39,0.8167
70.40,0.8199
70.41,0.8217
70.42,0.8212
70.43,0.8219
70.44,0.8211
70.45,0.8214
70.46,0.8222
70.47,0.8207
70.48,0.8216
70.49,0.8224
70.50,0.8229
70.51,0.8213
70.52,0.821
70.53,0.822
70.54,0.8218
70.55,0.8202
70.56,0.8258
70.57,0.8235
70.58,0.8222
70.59,0.8228
70.60,0.8232
70.61,0.8241
70.62,0.8233
70.63,0.8229
70.64,0.8216
70.65,0.8244
70.66,0.8254
70.67,0.8289
70.68,0.8299
70.69,0.8298
70.70,0.8242
70.71,0.8283
70.72,0.8338
70.73,0.8346
70.74,0.8301
70.75,0.8356
70.76,0.834
70.77,0.8313
70.78,0.829
70.79,0.8312
70.80,0.832
70.81,0.8278
70.82,0.828
70.83,0.8272
70.84,0.8328
70.85,0.825
70.86,0.8225
70.87,0.8224
70.88,0.8239
70.89,0.8219
70.90,0.8208
70.91,0.8227
70.92,0.8274
70.93,0.8281
70.94,0.8295
70.95,0.8258
70.96,0.8296
70.97,0.8275
70.98,0.8277
70.99,0.8237
71.00,0.817
71.01,0.8281
71.02,0.8303
71.03,0.8294
71.04,0.8311
71.05,0.8308
71.06,0.8279
71.07,0.8295
71.08,0.8281
71.09,0.8262
71.10,0.8258
71.11,0.826
71.12,0.8252
71.13,0.8304
71.14,0.8266
71.15,0.8301
71.16,0.8315
71.17,0.8282
71.18,0.8296
71.19,0.826
71.20,0.8275
71.21,0.8295
71.22,0.834
71.23,0.8297
71.24,0.8291
71.25,0.8312
71.26,0.8315
71.27,0.8343
71.28,0.8298
71.29,0.828
71.30,0.8292
71.31,0.829
71.32,0.8326
71.33,0.8312
71.34,0.8301
71.35,0.8312
71.36,0.8312
71.37,0.8345
71.38,0.8326
71.39,0.829
71.40,0.8296
71.41,0.8315
71.42,0.8295
71.43,0.8289
71.44,0.8292
71.45,0.8324
71.46,0.8319
71.47,0.8349
71.48,0.8324
71.49,0.834
71.50,0.8309
71.51,0.8313
71.52,0.8314
71.53,0.8313
71.54,0.8326
71.55,0.8324
71.56,0.8303
71.57,0.8328
71.58,0.8328
71.59,0.8304
71.60,0.8325
71.61,0.8318
71.62,0.8332
71.63,0.8339
71.64,0.8338
71.65,0.8338
71.66,0.8385
71.67,0.8369
71.68,0.8405
71.69,0.8383
71.70,0.8364
71.71,0.8376
71.72,0.8429
71.73,0.8451
71.74,0.8434
71.75,0.8392
71.76,0.842
71.77,0.8461
71.78,0.8465
71.79,0.8388
71.80,0.845
71.81,0.8439
71.82,0.8369
71.83,0.8368
71.84,0.8377
71.85,0.8376
71.86,0.8371
71.87,0.8359
71.88,0.8315
71.89,0.8327
71.90,0.8335
71.91,0.8346
71.92,0.8338
71.93,0.8346
71.94,0.8354
71.95,0.8342
71.96,0.8354
71.97,0.8346
71.98,0.8384
71.99,0.8373
72.00,0.8367
72.01,0.8359
72.02,0.8375
72.03,0.84
72.04,0.8412
72.05,0.8397
72.06,0.837
72.07,0.8358
72.08,0.8372
72.09,0.8389
72.10,0.8398
72.11,0.8389
72.12,0.8395
72.13,0.8409
72.14,0.8418
72.15,0.8403
72.16,0.8405
72.17,0.8415
72.18,0.8418
72.19,0.8396
72.20,0.8401
72.21,0.8399
72.22,0.8411
72.23,0.8412
72.24,0.8424
72.25,0.8394
72.26,0.8403
72.27,0.8426
72.28,0.8416
72.29,0.8397
72.30,0.8402
72.31,0.8413
72.32,0.8414
72.33,0.8412
72.34,0.8448
72.35,0.8454
72.36,0.8422
72.37,0.8451
72.38,0.8426
72.39,0.8442
72.40,0.8421
72.41,0.8416
72.42,0.8397
72.43,0.8405
72.44,0.8422
72.45,0.8438
72.46,0.841
72.47,0.8427
72.48,0.8452
72.49,0.8453
72.50,0.8457
72.51,0.8427
72.52,0.8447
72.53,0.8475
72.54,0.8477
72.55,0.8458
72.56,0.8461
72.57,0.8456
72.58,0.8434
72.59,0.8448
72.60,0.8452
72.61,0.844
72.62,0.8475
72.63,0.8472
72.64,0.848
72.65,0.8438
72.66,0.8447
72.67,0.8472
72.68,0.8458
72.69,0.8434
72.70,0.8451
72.71,0.843
72.72,0.8464
72.73,0.8483
72.74,0.8472
72.75,0.8449
72.76,0.848
72.77,0.8468
72.78,0.8491
72.79,0.8473
72.80,0.8485
72.81,0.849
72.82,0.8494
72.83,0.8525
72.84,0.8489
72.85,0.8504
72.86,0.85
72.87,0.847
72.88,0.8502
72.89,0.8483
72.90,0.8499
72.91,0.8477
72.92,0.8489
72.93,0.8499
72.94,0.8497
72.95,0.8518
72.96,0.8518
72.97,0.8552
72.98,0.8512
72.99,0.8496
73.00,0.8494
73.01,0.8494
73.02,0.8488
73.03,0.8515
73.04,0.8512
73.05,0.8513
73.06,0.8528
73.07,0.8499
73.08,0.8526
73.09,0.8517
73.10,0.8542
73.11,0.8539
73.12,0.8536
73.13,0.8542
73.14,0.8537
73.15,0.8544
73.16,0.853
73.17,0.8518
73.18,0.857
73.19,0.8563
73.20,0.8532
73.21,0.8506
73.22,0.849
73.23,0.8487
73.24,0.8503
73.25,0.8552
73.26,0.8498
73.27,0.8496
73.28,0.8505
73.29,0.853
73.30,0.8534
73.31,0.8514
73.32,0.8506
73.33,0.8514
73.34,0.8542
73.35,0.8565
73.36,0.8542
73.37,0.8528
73.38,0.8519
73.39,0.8561
73.40,0.8622
73.41,0.857
73.42,0.8565
73.43,0.8532
73.44,0.8555
73.45,0.8564
73.46,0.8574
73.47,0.8535
73.48,0.855
73.49,0.8563
73.50,0.8576
73.51,0.8571
73.52,0.8583
73.53,0.856
73.54,0.8526
73.55,0.8541
73.56,0.855
73.57,0.8567
73.58,0.8573
73.59,0.8562
73.60,0.8556
73.61,0.8573
73.62,0.8569
73.63,0.8584
73.64,0.8561
73.65,0.8577
73.66,0.8607
73.67,0.8594
73.68,0.8605
73.69,0.8583
73.70,0.8576
73.71,0.8577
73.72,0.8577
73.73,0.8552
73.74,0.8573
73.75,0.8575
73.76,0.8569
73.77,0.8587
73.78,0.8575
73.79,0.8599
73.80,0.8595
73.81,0.8603
73.82,0.8602
73.83,0.8581
73.84,0.8589
73.85,0.8572
73.86,0.8562
73.87,0.8587
73.88,0.8595
73.89,0.8602
73.90,0.8589
73.91,0.8603
73.92,0.8616
73.93,0.8581
73.94,0.8574
73.95,0.8578
73.96,0.8597
73.97,0.8575
73.98,0.8561
73.99,0.8589
74.00,0.8589
