l2_pos_deg,voltage_V
13.0100,0.5256
13.0200,0.5654
13.0300,0.5512
13.0400,0.5505
13.0500,0.5506
13.0600,0.5486
13.0700,0.5503
13.0800,0.5509
13.0900,0.5489
13.1000,0.5495
13.1100,0.5485
13.1200,0.548
13.1300,0.5489
13.1400,0.5498
13.1500,0.5504
13.1600,0.5488
13.1700,0.5481
13.1800,0.5458
13.1900,0.5454
13.2000,0.5463
13.2099,0.5468
13.2199,0.5465
13.2299,0.5449
13.2399,0.5454
13.2499,0.546
13.2599,0.5427
13.2699,0.5434
13.2799,0.5447
13.2899,0.5455
13.2999,0.5447
13.3099,0.5431
13.3199,0.543
