trial,event,stage_pos_deg,voltage_V,elapsed_s
1,at_target,80.0000,0.733,12.57
1,returned,80.0000,0.7361,35.76
2,at_target,80.0000,0.733,42.09
2,returned,80.0000,0.7343,65.28
3,at_target,80.0000,0.7339,71.60
3,returned,80.0000,0.7361,94.79
4,at_target,80.0000,0.7367,101.12
4,returned,80.0000,0.735,124.31
5,at_target,80.0000,0.7352,130.63
5,returned,80.0000,0.736,153.82
6,at_target,80.0000,0.7402,160.15
6,returned,80.0000,0.7372,183.34
7,at_target,80.0000,0.7377,189.66
7,returned,80.0000,0.7374,212.85
8,at_target,80.0000,0.741,219.18
8,returned,80.0000,0.7392,242.37
9,at_target,80.0000,0.7405,248.69
9,returned,80.0000,0.7382,271.88
10,at_target,80.0000,0.7399,278.21
10,returned,80.0000,0.7355,301.40
11,at_target,80.0000,0.7374,307.72
11,returned,80.0000,0.7383,330.91
12,at_target,80.0000,0.7383,337.24
12,returned,80.0000,0.7409,360.43
13,at_target,80.0000,0.7378,366.75
13,returned,80.0000,0.7368,389.94
14,at_target,80.0000,0.7376,396.27
14,returned,80.0000,0.7373,419.46
15,at_target,80.0000,0.7357,425.78
15,returned,80.0000,0.7367,448.97
16,at_target,80.0000,0.7365,455.31
16,returned,80.0000,0.7401,478.50
17,at_target,80.0000,0.742,484.81
17,returned,80.0000,0.7389,508.00
18,at_target,80.0000,0.7365,514.34
18,returned,80.0000,0.7375,537.53
19,at_target,80.0000,0.7403,543.84
19,returned,80.0000,0.7395,567.03
20,at_target,80.0000,0.737,573.37
20,returned,80.0000,0.7377,596.56
