current_mA,voltage_V
72.01,0.793
72.02,0.7922
72.03,0.7938
72.04,0.7931
72.05,0.7925
72.06,0.7915
72.07,0.7937
72.08,0.7912
72.09,0.7938
72.10,0.793
72.11,0.7922
72.12,0.7922
72.13,0.7914
72.14,0.7906
72.15,0.7917
72.16,0.793
72.17,0.7926
72.18,0.7923
72.19,0.7911
72.20,0.7904
72.21,0.7917
72.22,0.7927
72.23,0.7923
72.24,0.7908
72.25,0.7903
72.26,0.7935
72.27,0.7911
72.28,0.7907
72.29,0.7911
72.30,0.7916
72.31,0.7914
72.32,0.791
72.33,0.7933
72.34,0.7965
72.35,0.7954
72.36,0.7968
72.37,0.7968
72.38,0.7919
72.39,0.7911
72.40,0.7895
72.41,0.7841
72.42,0.7794
72.43,0.7804
72.44,0.7806
72.45,0.7819
72.46,0.7841
72.47,0.7841
72.48,0.7825
72.49,0.778
72.50,0.7752
72.51,0.7747
72.52,0.7752
72.53,0.7725
72.54,0.7707
72.55,0.7695
72.56,0.7671
72.57,0.7674
72.58,0.7699
72.59,0.77
72.60,0.767
72.61,0.767
72.62,0.7637
72.63,0.7614
72.64,0.7575
72.65,0.7557
72.66,0.7515
72.67,0.7428
72.68,0.7364
72.69,0.7217
72.70,0.7138
72.71,0.7077
72.72,0.708
72.73,0.7087
72.74,0.7174
72.75,0.7185
72.76,0.7098
72.77,0.7047
72.78,0.7061
72.79,0.6935
72.80,0.695
72.81,0.686
72.82,0.677
72.83,0.6796
72.84,0.6909
72.85,0.7136
72.86,0.7813
72.87,0.793
72.88,0.7778
72.89,0.7949
72.90,0.8345
72.91,0.8496
72.92,0.8607
72.93,0.871
72.94,0.8715
72.95,0.8716
72.96,0.8688
72.97,0.8669
72.98,0.8676
72.99,0.8638
73.00,0.8637
73.01,0.8621
73.02,0.8595
73.03,0.8581
73.04,0.8558
73.05,0.8554
73.06,0.853
73.07,0.8523
73.08,0.8503
73.09,0.8517
73.10,0.8483
73.11,0.8488
73.12,0.8476
73.13,0.8458
73.14,0.8449
73.15,0.8443
73.16,0.845
73.17,0.8428
73.18,0.8424
73.19,0.8417
73.20,0.8425
73.21,0.8424
73.22,0.8407
73.23,0.8396
73.24,0.841
73.25,0.8376
73.26,0.8383
73.27,0.8388
73.28,0.8398
73.29,0.8387
73.30,0.8398
73.31,0.8393
73.32,0.8386
73.33,0.8362
73.34,0.837
73.35,0.8357
73.36,0.8364
73.37,0.8358
73.38,0.837
73.39,0.8365
73.40,0.8375
73.41,0.8369
73.42,0.8375
73.43,0.8367
73.44,0.8348
73.45,0.8354
73.46,0.8358
73.47,0.8361
73.48,0.8361
73.49,0.8358
73.50,0.8354
73.51,0.8349
73.52,0.8337
73.53,0.8353
73.54,0.8357
73.55,0.8352
73.56,0.8341
73.57,0.8331
73.58,0.8337
73.59,0.8362
73.60,0.8363
73.61,0.8355
73.62,0.8381
73.63,0.8336
73.64,0.8348
73.65,0.8334
73.66,0.8347
73.67,0.8348
73.68,0.833
73.69,0.8346
73.70,0.8359
73.71,0.8344
73.72,0.8343
73.73,0.8348
73.74,0.8351
73.75,0.8347
73.76,0.8344
73.77,0.8366
73.78,0.8339
73.79,0.8357
73.80,0.8346
73.81,0.8348
73.82,0.8355
73.83,0.8349
73.84,0.8346
73.85,0.8338
73.86,0.8336
73.87,0.8338
73.88,0.8355
73.89,0.8368
73.90,0.8373
73.91,0.8358
73.92,0.8368
73.93,0.8341
73.94,0.8358
73.95,0.8367
73.96,0.8363
73.97,0.835
73.98,0.8354
73.99,0.8346
74.00,0.836
