current_mA,voltage_V
72.01,0.22659
72.02,0.22730
72.03,0.22733
72.04,0.22765
72.05,0.22802
72.06,0.22817
72.07,0.22763
72.08,0.22743
72.09,0.22816
72.10,0.22765
72.11,0.22768
72.12,0.22807
72.13,0.22756
72.14,0.22727
72.15,0.22654
72.16,0.22730
72.17,0.22836
72.18,0.22829
72.19,0.22740
72.20,0.22845
72.21,0.22851
72.22,0.22836
72.23,0.22870
72.24,0.22849
72.25,0.22852
72.26,0.22847
72.27,0.22870
72.28,0.22839
72.29,0.22852
72.30,0.22855
72.31,0.22767
72.32,0.22885
72.33,0.22922
72.34,0.22931
72.35,0.22881
72.36,0.22874
72.37,0.22953
72.38,0.22974
72.39,0.22903
72.40,0.22881
72.41,0.22877
72.42,0.22800
72.43,0.22728
72.44,0.22802
72.45,0.22796
72.46,0.22768
72.47,0.22861
72.48,0.22868
72.49,0.22830
72.50,0.22888
72.51,0.22737
72.52,0.22729
72.53,0.22804
72.54,0.22810
72.55,0.22741
72.56,0.22709
72.57,0.22757
72.58,0.22774
72.59,0.22885
72.60,0.22794
72.61,0.22822
72.62,0.22858
72.63,0.22875
72.64,0.22892
72.65,0.22866
72.66,0.22761
72.67,0.22711
72.68,0.22699
72.69,0.22602
72.70,0.22574
72.71,0.22691
72.72,0.22622
72.73,0.22603
72.74,0.22689
72.75,0.22657
72.76,0.22822
72.77,0.22807
72.78,0.22914
72.79,0.22834
72.80,0.22740
72.81,0.22817
72.82,0.22825
72.83,0.22990
72.84,0.22956
72.85,0.22182
72.86,0.22401
72.87,0.21998
72.88,0.22018
72.89,0.22149
72.90,0.22435
72.91,0.22725
72.92,0.22767
72.93,0.22950
72.94,0.22980
72.95,0.23037
72.96,0.23088
72.97,0.23070
72.98,0.23044
72.99,0.23099
73.00,0.23067
73.01,0.23097
73.02,0.23154
73.03,0.23203
73.04,0.23190
73.05,0.23210
73.06,0.23237
73.07,0.23204
73.08,0.23059
73.09,0.23219
73.10,0.23261
73.11,0.23219
73.12,0.23186
73.13,0.23290
73.14,0.23272
73.15,0.23254
73.16,0.23230
73.17,0.23296
73.18,0.23255
73.19,0.23247
73.20,0.23331
73.21,0.23299
73.22,0.23298
73.23,0.23266
73.24,0.23253
73.25,0.23347
73.26,0.23278
73.27,0.23321
73.28,0.23356
73.29,0.23337
73.30,0.23255
73.31,0.23296
73.32,0.23221
73.33,0.23306
73.34,0.23305
73.35,0.23233
73.36,0.23353
73.37,0.23301
73.38,0.23279
73.39,0.23336
73.40,0.23209
73.41,0.23238
73.42,0.23229
73.43,0.23124
73.44,0.23236
73.45,0.23306
73.46,0.23405
73.47,0.23363
73.48,0.23271
73.49,0.23299
73.50,0.23306
73.51,0.23351
73.52,0.23345
73.53,0.23373
73.54,0.23328
73.55,0.23437
73.56,0.23406
73.57,0.23361
73.58,0.23385
73.59,0.23247
73.60,0.23335
73.61,0.23447
73.62,0.23325
73.63,0.23267
73.64,0.23354
73.65,0.23332
73.66,0.23339
73.67,0.23375
73.68,0.23256
73.69,0.23336
73.70,0.23378
73.71,0.23331
73.72,0.23333
73.73,0.23374
73.74,0.23550
73.75,0.23528
73.76,0.23445
73.77,0.23457
73.78,0.23425
73.79,0.23312
73.80,0.23410
73.81,0.23496
73.82,0.23495
73.83,0.23521
73.84,0.23464
73.85,0.23516
73.86,0.23518
73.87,0.23508
73.88,0.23492
73.89,0.23539
73.90,0.23489
73.91,0.23439
73.92,0.23490
73.93,0.23427
73.94,0.23550
73.95,0.23558
73.96,0.23475
73.97,0.23399
73.98,0.23410
73.99,0.23490
74.00,0.23517
