current_mA,voltage_V
72.01,0.47715
72.02,0.47830
72.03,0.47819
72.04,0.47834
72.05,0.47689
72.06,0.47607
72.07,0.47787
72.08,0.47872
72.09,0.48033
72.10,0.47859
72.11,0.47923
72.12,0.47779
72.13,0.47631
72.14,0.47658
72.15,0.47889
72.16,0.47930
72.17,0.47842
72.18,0.47595
72.19,0.47659
72.20,0.47953
72.21,0.47722
72.22,0.47987
72.23,0.47921
72.24,0.47849
72.25,0.47997
72.26,0.48101
72.27,0.47798
72.28,0.47976
72.29,0.47829
72.30,0.48072
72.31,0.47793
72.32,0.47610
72.33,0.47538
72.34,0.47627
72.35,0.47679
72.36,0.47807
72.37,0.47718
72.38,0.47616
72.39,0.47872
72.40,0.47610
72.41,0.47851
72.42,0.47713
72.43,0.47544
72.44,0.47416
72.45,0.47662
72.46,0.47530
72.47,0.47211
72.48,0.47525
72.49,0.47439
72.50,0.47662
72.51,0.47607
72.52,0.47443
72.53,0.47561
72.54,0.47668
72.55,0.47813
72.56,0.47599
72.57,0.47658
72.58,0.47474
72.59,0.47341
72.60,0.46954
72.61,0.46752
72.62,0.46690
72.63,0.46849
72.64,0.46775
72.65,0.47132
72.66,0.47471
72.67,0.47636
72.68,0.47515
72.69,0.47287
72.70,0.47449
72.71,0.47486
72.72,0.47525
72.73,0.47171
72.74,0.45988
72.75,0.45695
72.76,0.46480
72.77,0.47138
72.78,0.46845
72.79,0.45664
72.80,0.45907
72.81,0.46452
72.82,0.47171
72.83,0.47777
72.84,0.48384
72.85,0.48440
72.86,0.48636
72.87,0.48608
72.88,0.48717
72.89,0.48670
72.90,0.48932
72.91,0.48249
72.92,0.48587
72.93,0.48654
72.94,0.48534
72.95,0.48562
72.96,0.48823
72.97,0.48706
72.98,0.48749
72.99,0.48739
73.00,0.48762
73.01,0.48829
73.02,0.48458
73.03,0.48578
73.04,0.48821
73.05,0.48794
73.06,0.48706
73.07,0.48787
73.08,0.48893
73.09,0.48884
73.10,0.48903
73.11,0.48792
73.12,0.48667
73.13,0.48697
73.14,0.48818
73.15,0.48612
73.16,0.48785
73.17,0.48762
73.18,0.49068
73.19,0.48891
73.20,0.48827
73.21,0.48826
73.22,0.48964
73.23,0.48853
73.24,0.48879
73.25,0.48859
73.26,0.48877
73.27,0.48603
73.28,0.48771
73.29,0.48550
73.30,0.48616
73.31,0.48894
73.32,0.48772
73.33,0.48920
73.34,0.49132
73.35,0.48982
73.36,0.48944
73.37,0.49015
73.38,0.48983
73.39,0.48964
73.40,0.48873
73.41,0.48906
73.42,0.48907
73.43,0.48918
73.44,0.48893
73.45,0.49093
73.46,0.48753
73.47,0.48969
73.48,0.49051
73.49,0.49049
73.50,0.48975
73.51,0.49093
73.52,0.49138
73.53,0.48906
73.54,0.48930
73.55,0.48766
73.56,0.48823
73.57,0.48966
73.58,0.49157
73.59,0.49037
73.60,0.48953
73.61,0.49015
73.62,0.48873
73.63,0.48905
73.64,0.49091
73.65,0.49129
73.66,0.49185
73.67,0.49174
73.68,0.49028
73.69,0.48995
73.70,0.49056
73.71,0.48915
73.72,0.48997
73.73,0.49085
73.74,0.49285
73.75,0.49341
73.76,0.49102
73.77,0.49073
73.78,0.49166
73.79,0.48995
73.80,0.49102
73.81,0.49357
73.82,0.49141
73.83,0.49163
73.84,0.48836
73.85,0.49321
73.86,0.49497
73.87,0.49518
73.88,0.49216
73.89,0.49211
73.90,0.49179
73.91,0.49289
73.92,0.49339
73.93,0.49299
73.94,0.49248
73.95,0.49365
73.96,0.49393
73.97,0.49343
73.98,0.49704
73.99,0.49437
74.00,0.49467
