l2_pos_deg,ch1_V,ch3_V
3.0000,0.24728,0.24653
6.0000,0.24727,None
9.0000,0.24657,0.24726
12.0000,0.24684,0.24696
15.0000,0.24687,None
18.0000,0.24695,0.24684
21.0000,0.24732,0.24658
24.0000,0.24728,None
27.0000,0.24659,0.24729
30.0000,0.24688,0.24694
33.0000,0.24686,None
36.0000,0.24696,0.2469
39.0000,0.24733,0.24661
42.0000,0.24733,None
45.0000,0.24665,0.2473
48.0000,0.24693,0.24693
51.0000,0.24691,None
54.0000,0.2466,0.2473
57.0000,0.24687,0.24695
60.0000,0.24689,None
63.0000,0.24697,0.24689
66.0000,0.24734,0.24657
69.0000,0.24735,None
72.0000,0.24657,0.24731
75.0000,0.24691,0.24699
78.0000,0.24689,None
81.0000,0.24662,0.24731
84.0000,0.24693,0.24697
87.0000,0.24689,None
90.0000,0.247,0.24689
