l2_pos_deg,ch1_V,ch3_V
3.0000,0.3345,0.08421
6.0000,0.38504,0.09822
9.0000,0.42996,0.11124
12.0000,0.4672,0.12207
15.0000,0.49614,0.13023
18.0000,0.51446,0.13522
21.0000,0.52169,0.13687
24.0000,0.51721,0.13556
27.0000,0.50182,0.13129
30.0000,0.47546,0.12394
33.0000,0.44003,0.11355
36.0000,0.39664,0.10125
39.0000,0.34759,0.08718
42.0000,0.29461,0.07213
45.0000,0.24036,0.05651
48.0000,0.18655,0.04124
51.0000,0.13588,0.02693
54.0000,0.09058,0.01416
57.0000,0.05274,0.0036
60.0000,0.02397,-0.00441
63.0000,0.00558,-0.00951
66.0000,-0.00166,-0.01149
69.0000,0.0026,-0.0102
72.0000,0.0182,-0.00576
75.0000,0.04441,0.00169
78.0000,0.08002,0.01176
81.0000,0.12342,0.0241
84.0000,0.17281,0.03815
87.0000,0.22605,0.05316
90.0000,0.28078,0.06856
