current_mA,ch1_V,ch3_V
72.01,0.06740,-0.00126
72.02,0.06739,-0.00126
72.03,0.06735,-0.00126
72.04,0.06747,-0.00126
72.05,0.06745,-0.00126
72.06,0.06743,-0.00127
72.07,0.06736,-0.00126
72.08,0.06762,-0.00126
72.09,0.06757,-0.00126
72.10,0.06760,-0.00127
72.11,0.06724,-0.00126
72.12,0.06755,-0.00126
72.13,0.06773,-0.00125
72.14,0.06769,-0.00126
72.15,0.06715,-0.00125
72.16,0.06697,-0.00125
72.17,0.06652,-0.00124
72.18,0.06591,-0.00123
72.19,0.06581,-0.00125
72.20,0.06619,-0.00124
72.21,0.06614,-0.00123
72.22,0.06666,-0.00124
72.23,0.06697,-0.00122
72.24,0.06685,-0.00124
72.25,0.06685,-0.00124
72.26,0.06649,-0.00123
72.27,0.06621,-0.00124
72.28,0.06626,-0.00124
72.29,0.06628,-0.00124
72.30,0.06628,-0.00123
72.31,0.06607,-0.00121
72.32,0.06603,-0.00121
72.33,0.06648,-0.00120
72.34,0.06663,-0.00120
72.35,0.06643,-0.00119
72.36,0.06652,-0.00120
72.37,0.06653,-0.00115
72.38,0.06658,-0.00117
72.39,0.06658,-0.00121
72.40,0.06633,-0.00130
72.41,0.06589,-0.00106
72.42,0.06627,-0.00106
72.43,0.06628,-0.00093
72.44,0.06621,-0.00139
72.45,0.06588,-0.00126
72.46,0.06475,-0.00092
72.47,0.06485,-0.00090
72.48,0.06533,-0.00103
72.49,0.06593,-0.00119
72.50,0.06547,-0.00078
72.51,0.06474,-0.00056
72.52,0.06361,-0.00132
72.53,0.06438,-0.00421
72.54,0.06433,0.00137
72.55,0.06445,-0.00155
72.56,0.06455,-0.00031
72.57,0.06278,0.00023
72.58,0.06054,0.00398
72.59,0.06022,-0.00005
72.60,0.06119,0.00130
72.61,0.05852,0.00506
72.62,0.05380,0.01896
72.63,0.05457,-0.02827
72.64,0.04921,-0.01461
72.65,0.04771,-0.01318
72.66,0.05178,-0.00764
72.67,0.05500,-0.00448
72.68,0.05792,-0.00413
72.69,0.06150,-0.00308
72.70,0.06251,-0.00235
72.71,0.06390,-0.00212
72.72,0.06537,-0.00185
72.73,0.06623,-0.00176
72.74,0.06638,-0.00168
72.75,0.06621,-0.00166
72.76,0.06698,-0.00162
72.77,0.06699,-0.00158
72.78,0.06729,-0.00155
72.79,0.06728,-0.00150
72.80,0.06797,-0.00150
72.81,0.06732,-0.00149
72.82,0.06726,-0.00148
72.83,0.06757,-0.00147
72.84,0.06756,-0.00147
72.85,0.06779,-0.00144
72.86,0.06766,-0.00145
72.87,0.06778,-0.00144
72.88,0.06796,-0.00143
72.89,0.06810,-0.00141
72.90,0.06797,-0.00142
72.91,0.06820,-0.00142
72.92,0.06824,-0.00142
72.93,0.06820,-0.00140
72.94,0.06833,-0.00140
72.95,0.06808,-0.00140
72.96,0.06807,-0.00142
72.97,0.06833,-0.00140
72.98,0.06808,-0.00141
72.99,0.06840,-0.00138
73.00,0.06826,-0.00139
73.01,0.06826,-0.00139
73.02,0.06846,-0.00139
73.03,0.06840,-0.00139
73.04,0.06831,-0.00139
73.05,0.06863,-0.00139
73.06,0.06835,-0.00136
73.07,0.06863,-0.00138
73.08,0.06853,-0.00137
73.09,0.06866,-0.00136
73.10,0.06872,-0.00137
73.11,0.06859,-0.00135
73.12,0.06846,-0.00136
73.13,0.06844,-0.00134
73.14,0.06868,-0.00136
73.15,0.06817,-0.00136
73.16,0.06806,-0.00137
73.17,0.06870,-0.00135
73.18,0.06856,-0.00135
