current_mA,ch1_V,ch3_V
72.01,0.20259,-0.00875
72.02,0.20339,-0.00874
72.03,0.20309,-0.00858
72.04,0.20290,-0.00857
72.05,0.20287,-0.00851
72.06,0.20310,-0.00843
72.07,0.20304,-0.00826
72.08,0.20386,-0.00832
72.09,0.20335,-0.00815
72.10,0.20290,-0.00828
72.11,0.20269,-0.00826
72.12,0.20422,-0.00814
72.13,0.20456,-0.00788
72.14,0.20495,-0.00800
72.15,0.20505,-0.00755
72.16,0.20359,-0.00731
72.17,0.20243,-0.00692
72.18,0.20103,-0.00675
72.19,0.19965,-0.00678
72.20,0.19933,-0.00667
72.21,0.19967,-0.00638
72.22,0.20062,-0.00599
72.23,0.20114,-0.00581
72.24,0.20125,-0.00487
72.25,0.20251,-0.00431
72.26,0.20194,-0.00179
72.27,0.20120,-0.00492
72.28,0.20030,-0.00363
72.29,0.19927,-0.00188
72.30,0.19827,-0.00021
72.31,0.19738,-0.00779
72.32,0.19726,-0.00450
72.33,0.19791,0.00437
72.34,0.19823,-0.00306
72.35,0.19800,-0.01015
72.36,0.19835,-0.00189
72.37,0.20020,-0.01223
72.38,0.19999,0.00620
72.39,0.19964,0.02539
72.40,0.19940,0.02090
72.41,0.19941,0.02133
72.42,0.19877,-0.01845
72.43,0.19807,-0.01998
72.44,0.19860,0.00724
72.45,0.19684,0.03654
72.46,0.19368,-0.04062
72.47,0.18998,-0.02855
72.48,0.19021,-0.00989
72.49,0.19371,-0.02691
72.50,0.19776,-0.00549
72.51,0.19800,-0.01647
72.52,0.19975,0.00636
72.53,0.20080,0.01281
72.54,0.20200,0.00326
72.55,0.19854,0.01096
72.56,0.20087,0.03410
72.57,0.20139,0.07780
72.58,0.19981,0.09010
72.59,0.18711,0.00517
72.60,0.20843,-0.20129
72.61,0.20911,-0.19558
72.62,0.17676,-0.15922
72.63,0.17106,-0.08937
72.64,0.17582,-0.05170
72.65,0.18141,-0.03477
72.66,0.18713,-0.02761
72.67,0.19226,-0.02310
72.68,0.19433,-0.02118
72.69,0.19853,-0.01982
72.70,0.19952,-0.01815
72.71,0.20227,-0.01667
72.72,0.20236,-0.01561
72.73,0.20265,-0.01557
72.74,0.20331,-0.01526
72.75,0.20368,-0.01486
72.76,0.20455,-0.01467
72.77,0.20428,-0.01429
72.78,0.20440,-0.01408
72.79,0.20435,-0.01394
72.80,0.20491,-0.01379
72.81,0.20425,-0.01360
