l2_pos_deg,voltage_V
-89.5000,0.4027
-89.0000,0.6631
-88.5000,0.7791
-88.0000,0.7822
-87.5000,0.7808
-87.0000,0.7772
-86.5000,0.772
-86.0000,0.7698
-85.5000,0.7677
-85.0000,0.7633
-84.5000,0.759
-84.0000,0.7542
-83.5000,0.7515
-83.0001,0.743
-82.5001,0.7385
-82.0001,0.7369
-81.5001,0.7302
-81.0001,0.7242
-80.5001,0.7205
-80.0001,0.7164
-79.5001,0.7092
-79.0001,0.7047
-78.5001,0.6988
-78.0001,0.6902
-77.5001,0.6852
-77.0001,0.679
-76.5001,0.6709
-76.0001,0.6637
-75.5001,0.6569
-75.0001,0.6483
-74.5001,0.6392
-74.0001,0.6329
-73.5001,0.6262
-73.0001,0.6174
-72.5001,0.6085
-72.0001,0.5997
-71.5001,0.5917
-71.0001,0.5818
-70.5001,0.5748
-70.0001,0.5692
-69.5002,0.5565
-69.0002,0.547
-68.5002,0.5413
-68.0002,0.5314
-67.5002,0.5191
-67.0002,0.5106
-66.5002,0.5016
-66.0002,0.4902
-65.5002,0.4812
-65.0002,0.4746
-64.5002,0.4626
-64.0002,0.4516
-63.5002,0.443
-63.0002,0.4334
-62.5002,0.4198
-62.0002,0.4124
-61.5002,0.4049
-61.0002,0.3924
-60.5002,0.3829
-60.0002,0.3748
-59.5002,0.364
-59.0002,0.3511
-58.5002,0.3424
-58.0002,0.3347
-57.5002,0.322
-57.0002,0.3127
-56.5002,0.3046
-56.0002,0.2936
-55.5003,0.2822
-55.0003,0.2751
-54.5003,0.2674
-54.0003,0.254
-53.5003,0.2456
-53.0003,0.2377
-52.5003,0.226
-52.0003,0.2168
-51.5003,0.2097
-51.0003,0.2016
-50.5003,0.1894
-50.0003,0.1826
-49.5003,0.175
-49.0003,0.1639
-48.5003,0.1558
-48.0003,0.1493
-47.5003,0.1408
-47.0003,0.1309
-46.5003,0.1247
-46.0003,0.1181
-45.5003,0.108
-45.0003,0.1016
-44.5003,0.096
-44.0003,0.0882
-43.5003,0.0815
-43.0003,0.0761
-42.5003,0.0702
-42.0004,0.062
-41.5004,0.0571
-41.0004,0.0527
-40.5004,0.0458
-40.0004,0.0412
-39.5004,0.0375
-39.0004,0.0308
-38.5004,0.0264
-38.0004,0.0228
-37.5004,0.019
-37.0004,0.0131
-36.5004,0.011
-36.0004,0.0076
-35.5004,0.0029
-35.0004,0.0012
-34.5004,0.0
-34.0004,0.0
-33.5004,0.0
-33.0004,0.0
-32.5004,0.0
-32.0004,0.0
-31.5004,0.0
-31.0004,0.0
-30.5004,0.0
-30.0004,0.0
-29.5004,0.0
-29.0004,0.0
-28.5005,0.0
-28.0005,0.0
-27.5005,0.0
-27.0005,0.0
-26.5005,0.0
-26.0005,0.0
-25.5005,0.0
-25.0005,0.0
-24.5005,0.0
-24.0005,0.0
-23.5005,0.0
-23.0005,0.0016
-22.5005,0.0038
-22.0005,0.006
-21.5005,0.011
-21.0005,0.0147
-20.5005,0.0178
-20.0005,0.0224
-19.5005,0.0279
-19.0005,0.0319
-18.5005,0.0355
-18.0005,0.0426
-17.5005,0.047
-17.0005,0.0518
-16.5005,0.0591
-16.0005,0.0651
-15.5005,0.0704
-15.0005,0.0766
-14.5006,0.085
-14.0006,0.0905
-13.5006,0.0958
-13.0006,0.1052
-12.5006,0.1125
-12.0006,0.1182
-11.5006,0.1259
-11.0006,0.1367
-10.5006,0.1419
-10.0006,0.1498
-9.5006,0.1605
-9.0006,0.1676
-8.5006,0.1746
-8.0006,0.1844
-7.5006,0.1949
-7.0006,0.2019
-6.5006,0.2096
-6.0006,0.2219
-5.5006,0.2292
-5.0006,0.2366
-4.5006,0.2484
-4.0006,0.2588
-3.5006,0.2659
-3.0006,0.2746
-2.5006,0.2878
-2.0006,0.2957
-1.5006,0.3038
-1.0007,0.3176
-0.5007,0.3268
-0.0007,0.3351
0.4993,0.3459
0.9993,0.3577
1.4993,0.3651
1.9993,0.3734
2.4993,0.3878
2.9993,0.3956
3.4993,0.4039
3.9993,0.4159
4.4993,0.4268
4.9993,0.435
5.4993,0.4458
5.9993,0.4591
6.4993,0.4673
6.9993,0.4737
7.4993,0.4874
7.9993,0.4967
8.4993,0.5046
8.9993,0.5146
9.4993,0.527
9.9993,0.5336
10.4993,0.5406
10.9993,0.5532
11.4993,0.5626
11.9993,0.5699
12.4992,0.5794
12.9992,0.5902
13.4992,0.5961
13.9992,0.6044
14.4992,0.6151
14.9992,0.6223
15.4992,0.6292
15.9992,0.6376
16.4992,0.6492
16.9992,0.6511
17.4992,0.6578
17.9992,0.6695
18.4992,0.6745
18.9992,0.6794
19.4992,0.6889
19.9992,0.6943
20.4992,0.7022
20.9992,0.7077
21.4992,0.7154
21.9992,0.7204
22.4992,0.7243
22.9992,0.7332
23.4992,0.7383
23.9992,0.7427
24.4992,0.7455
24.9992,0.7505
25.4992,0.7561
25.9992,0.7599
26.4991,0.764
26.9991,0.7681
27.4991,0.7666
27.9991,0.7722
28.4991,0.778
28.9991,0.7777
29.4991,0.7803
29.9991,0.783
30.4991,0.7864
30.9991,0.7849
31.4991,0.7873
31.9991,0.7885
32.4991,0.789
32.9991,0.7885
33.4991,0.7906
33.9991,0.7925
34.4991,0.7928
34.9991,0.792
35.4991,0.7913
35.9991,0.7932
36.4991,0.7916
36.9991,0.7899
37.4991,0.7874
37.9991,0.7853
38.4991,0.784
38.9991,0.7834
39.4991,0.7795
39.9990,0.777
40.4990,0.7756
40.9990,0.7724
41.4990,0.7697
41.9990,0.7647
42.4990,0.7623
42.9990,0.7563
43.4990,0.751
43.9990,0.7488
44.4990,0.7434
44.9990,0.7369
45.4990,0.7316
45.9990,0.7276
46.4990,0.7241
46.9990,0.7165
47.4990,0.7109
47.9990,0.7065
48.4990,0.6982
48.9990,0.6905
49.4990,0.683
49.9990,0.6798
50.4990,0.67
50.9990,0.663
51.4990,0.6591
51.9990,0.6473
52.4990,0.6406
52.9990,0.6347
53.4989,0.6276
53.9989,0.6181
54.4989,0.6123
54.9989,0.6042
55.4989,0.5935
55.9989,0.5846
56.4989,0.5753
56.9989,0.5647
57.4989,0.5568
57.9989,0.5479
58.4989,0.5404
58.9989,0.5276
59.4989,0.5201
59.9989,0.5135
60.4989,0.502
60.9989,0.4923
61.4989,0.4843
61.9989,0.4746
62.4989,0.4635
62.9989,0.4551
63.4989,0.4461
63.9989,0.4317
64.4989,0.4234
64.9989,0.416
65.4989,0.4023
65.9989,0.3917
66.4989,0.3837
66.9989,0.3746
67.4988,0.362
67.9988,0.3546
68.4988,0.3454
68.9988,0.3322
69.4988,0.3224
69.9988,0.3154
70.4988,0.3053
70.9988,0.2919
71.4988,0.2859
71.9988,0.2768
72.4988,0.2647
72.9988,0.2548
73.4988,0.2482
73.9988,0.2377
74.4988,0.2266
74.9988,0.2187
75.4988,0.2114
75.9988,0.1993
76.4988,0.1917
76.9988,0.1845
77.4988,0.174
77.9988,0.1647
78.4988,0.1584
78.9988,0.1513
79.4988,0.1404
79.9988,0.1335
80.4988,0.1274
80.9987,0.1178
81.4987,0.1107
81.9987,0.1046
82.4987,0.0973
82.9987,0.0883
83.4987,0.0834
83.9987,0.0779
84.4987,0.0692
84.9987,0.0638
85.4987,0.059
85.9987,0.0527
86.4987,0.0461
86.9987,0.0422
87.4987,0.0375
87.9987,0.0312
88.4987,0.0276
88.9987,0.0244
89.4987,0.0183
89.9987,0.0142
