current_mA,voltage_V
72.01,0.7916
72.02,None
72.03,0.7897
72.04,0.7908
72.05,None
72.06,0.7922
72.07,0.7916
72.08,None
72.09,0.79
72.10,0.7892
72.11,None
72.12,0.7891
72.13,0.7928
72.14,None
72.15,0.7919
72.16,0.7913
72.17,None
72.18,0.7905
72.19,0.7907
72.20,None
72.21,0.792
72.22,0.7883
72.23,None
72.24,0.791
72.25,0.7887
72.26,None
72.27,0.7905
72.28,0.7883
72.29,None
72.30,0.7882
72.31,0.7903
72.32,None
72.33,0.7897
72.34,0.7918
72.35,None
72.36,0.7921
72.37,0.7906
72.38,None
72.39,0.7839
72.40,0.7799
72.41,None
72.42,0.7802
72.43,0.7799
72.44,None
72.45,0.7788
72.46,0.783
72.47,None
72.48,0.783
72.49,0.7802
72.50,None
72.51,0.7784
72.52,0.7664
72.53,None
72.54,0.7723
72.55,0.7672
72.56,None
72.57,0.7639
72.58,0.7683
72.59,None
72.60,0.7701
72.61,0.769
72.62,None
72.63,0.7639
72.64,0.7597
72.65,None
72.66,0.7568
72.67,0.7457
72.68,None
72.69,0.7353
72.70,0.7211
72.71,None
72.72,0.7097
72.73,0.7081
72.74,None
72.75,0.7143
72.76,0.7095
72.77,None
72.78,0.7054
72.79,0.6924
72.80,None
72.81,0.6906
72.82,0.6705
72.83,None
72.84,0.6795
72.85,0.7591
72.86,None
72.87,0.7913
72.88,0.782
72.89,None
72.90,0.8
72.91,0.844
72.92,None
72.93,0.8595
72.94,0.8708
72.95,None
72.96,0.8701
72.97,0.8691
72.98,None
72.99,0.8662
73.00,0.8619
73.01,None
73.02,0.858
73.03,0.8581
73.04,None
73.05,0.8563
73.06,0.8523
73.07,None
73.08,0.8512
73.09,0.8474
73.10,None
73.11,0.8465
73.12,0.8461
73.13,None
73.14,0.8441
73.15,0.8424
73.16,None
73.17,0.843
73.18,0.8415
73.19,None
73.20,0.8408
73.21,0.8399
73.22,None
73.23,0.8421
73.24,0.8401
73.25,None
73.26,0.8381
73.27,0.8372
73.28,None
73.29,0.8373
73.30,0.836
73.31,None
73.32,0.8367
73.33,0.8363
73.34,None
73.35,0.837
73.36,0.8339
73.37,None
73.38,0.8332
73.39,0.8365
73.40,None
73.41,0.8346
73.42,0.8364
73.43,None
73.44,0.8355
73.45,0.8339
73.46,None
73.47,0.8354
73.48,0.8335
73.49,None
73.50,0.8356
73.51,0.8347
73.52,None
73.53,0.8341
73.54,0.8333
73.55,None
73.56,0.8347
73.57,0.8347
73.58,None
73.59,0.8342
73.60,0.8333
73.61,None
73.62,0.8329
73.63,0.8342
73.64,None
73.65,0.8335
73.66,0.8317
73.67,None
73.68,0.8333
73.69,0.8315
73.70,None
73.71,0.8313
73.72,0.8322
73.73,None
73.74,0.8347
73.75,0.8345
73.76,None
73.77,0.8337
73.78,0.8343
73.79,None
