current_mA,voltage_V
72.01,0.50783
72.02,0.50597
72.03,0.50645
72.04,0.50400
72.05,0.50554
72.06,0.50619
72.07,0.50641
72.08,0.50691
72.09,0.50523
72.10,0.50709
72.11,0.50600
72.12,0.50549
72.13,0.50549
72.14,0.50587
72.15,0.50655
72.16,0.50699
72.17,0.50776
72.18,0.50798
72.19,0.50716
72.20,0.50623
72.21,0.50674
72.22,0.50596
72.23,0.50750
72.24,0.50725
72.25,0.50617
72.26,0.50638
72.27,0.50589
72.28,0.50610
72.29,0.50516
72.30,0.50693
72.31,0.50707
72.32,0.50636
72.33,0.50921
72.34,0.50661
72.35,0.50657
72.36,0.50702
72.37,0.50819
72.38,0.50781
72.39,0.50629
72.40,0.50517
72.41,0.50665
72.42,0.50563
72.43,0.50459
72.44,0.50500
72.45,0.50664
72.46,0.50845
72.47,0.50903
72.48,0.50765
72.49,0.50875
72.50,0.50797
72.51,0.50762
72.52,0.50912
72.53,0.50789
72.54,0.50602
72.55,0.50718
72.56,0.50790
72.57,0.50772
72.58,0.50753
72.59,0.50758
72.60,0.50735
72.61,0.50821
72.62,0.50953
72.63,0.50910
72.64,0.50873
72.65,0.50943
72.66,0.50680
72.67,0.50716
72.68,0.50557
72.69,0.50431
72.70,0.50372
72.71,0.50418
72.72,0.50374
72.73,0.50423
72.74,0.50453
72.75,0.50463
72.76,0.50619
72.77,0.50703
72.78,0.50828
72.79,0.50983
72.80,0.50695
72.81,0.50962
72.82,0.50921
72.83,0.51762
72.84,0.51840
72.85,0.50736
72.86,0.49963
72.87,0.49137
72.88,0.48525
72.89,0.49133
72.90,0.49619
72.91,0.50434
72.92,0.50690
72.93,0.50888
72.94,0.50903
72.95,0.51133
72.96,0.51097
72.97,0.51380
72.98,0.51334
72.99,0.51295
73.00,0.51091
73.01,0.51265
73.02,0.51277
73.03,0.51418
73.04,0.51354
73.05,0.51095
73.06,0.51417
73.07,0.51319
73.08,0.51352
73.09,0.51358
73.10,0.51465
73.11,0.51602
73.12,0.51520
73.13,0.51323
73.14,0.51301
73.15,0.51622
73.16,0.51553
73.17,0.51623
73.18,0.51399
73.19,0.51392
73.20,0.51563
73.21,0.51638
73.22,0.51705
73.23,0.51629
73.24,0.51770
73.25,0.51456
73.26,0.51418
73.27,0.51660
73.28,0.51376
73.29,0.51387
73.30,0.51342
73.31,0.51432
73.32,0.51639
73.33,0.51760
73.34,0.51650
73.35,0.51738
73.36,0.51769
73.37,0.51800
73.38,0.51531
73.39,0.51571
73.40,0.51578
73.41,0.51633
73.42,0.51778
73.43,0.51769
73.44,0.51512
73.45,0.51409
73.46,0.51483
73.47,0.51784
73.48,0.51623
73.49,0.51769
73.50,0.51777
73.51,0.51573
73.52,0.51597
73.53,0.51527
73.54,0.51813
73.55,0.51568
73.56,0.51794
73.57,0.51847
73.58,0.51937
73.59,0.51910
73.60,0.51607
73.61,0.51643
73.62,0.51953
73.63,0.52010
73.64,0.51915
73.65,0.51999
73.66,0.52085
73.67,0.52124
73.68,0.52070
73.69,0.51928
73.70,0.52116
73.71,0.51856
73.72,0.51758
73.73,0.51932
73.74,0.52013
73.75,0.51941
73.76,0.51876
73.77,0.51983
73.78,0.51843
73.79,0.51950
73.80,0.52068
73.81,0.52109
73.82,0.52079
73.83,0.51959
73.84,0.51981
73.85,0.51996
73.86,0.51985
73.87,0.52033
73.88,0.52125
73.89,0.51944
73.90,0.52082
73.91,0.52016
73.92,0.52276
73.93,0.52297
73.94,0.52134
73.95,0.52052
73.96,0.52088
73.97,0.52180
73.98,0.52175
73.99,0.52215
74.00,0.52325
