current_mA,voltage_V
72.01,-0.01173
72.02,-0.01174
72.03,-0.01172
72.04,-0.01172
72.05,-0.01177
72.06,-0.01174
72.07,-0.01174
72.08,-0.01173
72.09,-0.01174
72.10,-0.01171
72.11,-0.01171
72.12,-0.01172
72.13,-0.01172
72.14,-0.01173
72.15,-0.01172
72.16,-0.01173
72.17,-0.01174
72.18,-0.01171
72.19,-0.01175
72.20,-0.01171
72.21,-0.01171
72.22,-0.01171
72.23,-0.01178
72.24,-0.01171
72.25,-0.01173
72.26,-0.01173
72.27,-0.01172
72.28,-0.01172
72.29,-0.01173
72.30,-0.01173
72.31,-0.01174
72.32,-0.01172
72.33,-0.01173
72.34,-0.01172
72.35,-0.01171
72.36,-0.01173
72.37,-0.01174
72.38,-0.01176
72.39,-0.01175
72.40,-0.01179
72.41,-0.01177
72.42,-0.01177
72.43,-0.01176
72.44,-0.01174
72.45,-0.01176
72.46,-0.01175
72.47,-0.01176
72.48,-0.01177
72.49,-0.01178
72.50,-0.01178
72.51,-0.01179
72.52,-0.01178
72.53,-0.01180
72.54,-0.01178
72.55,-0.01179
72.56,-0.01177
72.57,-0.01177
72.58,-0.01173
72.59,-0.01176
72.60,-0.01178
72.61,-0.01177
72.62,-0.01179
72.63,-0.01181
72.64,-0.01180
72.65,-0.01179
72.66,-0.01181
72.67,-0.01183
72.68,-0.01185
72.69,-0.01184
72.70,-0.01182
72.71,-0.01178
72.72,-0.01177
72.73,-0.01174
72.74,-0.01175
72.75,-0.01177
72.76,-0.01178
72.77,-0.01174
72.78,-0.01177
72.79,-0.01183
72.80,-0.01189
72.81,-0.01190
72.82,-0.01184
72.83,-0.01197
72.84,-0.01206
72.85,-0.01234
72.86,-0.01237
72.87,-0.01203
72.88,-0.01191
72.89,-0.01182
72.90,-0.01179
72.91,-0.01173
72.92,-0.01170
72.93,-0.01173
72.94,-0.01171
72.95,-0.01170
72.96,-0.01171
72.97,-0.01173
72.98,-0.01172
72.99,-0.01171
73.00,-0.01173
73.01,-0.01170
73.02,-0.01171
73.03,-0.01173
73.04,-0.01169
73.05,-0.01170
73.06,-0.01172
73.07,-0.01173
73.08,-0.01171
73.09,-0.01171
73.10,-0.01170
73.11,-0.01173
73.12,-0.01173
73.13,-0.01174
73.14,-0.01172
73.15,-0.01171
73.16,-0.01171
73.17,-0.01174
73.18,-0.01171
73.19,-0.01173
73.20,-0.01173
73.21,-0.01174
73.22,-0.01171
73.23,-0.01171
73.24,-0.01170
73.25,-0.01171
73.26,-0.01170
73.27,-0.01172
73.28,-0.01171
73.29,-0.01171
73.30,-0.01174
73.31,-0.01170
73.32,-0.01171
73.33,-0.01170
73.34,-0.01171
73.35,-0.01169
73.36,-0.01169
73.37,-0.01169
73.38,-0.01170
73.39,-0.01170
73.40,-0.01173
73.41,-0.01169
73.42,-0.01169
73.43,-0.01171
73.44,-0.01169
73.45,-0.01170
73.46,-0.01170
73.47,-0.01170
73.48,-0.01170
73.49,-0.01170
73.50,-0.01172
73.51,-0.01171
73.52,-0.01170
73.53,-0.01171
73.54,-0.01172
73.55,-0.01168
73.56,-0.01170
73.57,-0.01171
73.58,-0.01171
73.59,-0.01170
73.60,-0.01172
73.61,-0.01169
73.62,-0.01172
73.63,-0.01169
73.64,-0.01172
73.65,-0.01169
73.66,-0.01169
73.67,-0.01171
73.68,-0.01172
73.69,-0.01172
73.70,-0.01171
73.71,-0.01172
73.72,-0.01170
73.73,-0.01172
73.74,-0.01171
73.75,-0.01173
73.76,-0.01174
73.77,-0.01172
73.78,-0.01171
73.79,-0.01172
73.80,-0.01173
73.81,-0.01172
73.82,-0.01171
73.83,-0.01173
73.84,-0.01174
73.85,-0.01171
73.86,-0.01173
73.87,-0.01172
73.88,-0.01169
73.89,-0.01171
73.90,-0.01172
73.91,-0.01171
73.92,-0.01170
73.93,-0.01168
73.94,-0.01170
73.95,-0.01168
73.96,-0.01170
73.97,-0.01172
73.98,-0.01171
73.99,-0.01168
74.00,-0.01171
